action,reason,source_path,kept_path,date,image_index,format,width,height
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2022-11-11_science-environment-63591796_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2022-11-11_science-environment-63591796_img02.png,2022-11-11,2,PNG,2560,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2022-11-14_science-environment-63617400_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2022-11-14_science-environment-63617400_img03.png,2022-11-14,3,PNG,2560,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-01-31_uk-england-essex-64255567_img08.jpg,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-01-31_uk-england-essex-64255567_img08.jpg,2023-01-31,8,JPEG,976,750
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-01-31_uk-england-essex-64255567_img12.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-01-31_uk-england-essex-64255567_img12.png,2023-01-31,12,PNG,976,549
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-05-17_science-environment-65602293_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-05-17_science-environment-65602293_img03.png,2023-05-17,3,PNG,2560,2040
removed_from_dedup,exact_visual_duplicate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-07-20_science-environment-66256101_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2022-11-11_science-environment-63591796_img02.png,2023-07-20,2,PNG,2560,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-10-06_science-environment-66857354_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-10-06_science-environment-66857354_img03.png,2023-10-06,3,PNG,2560,2400
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-10-06_science-environment-66857354_img04.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-10-06_science-environment-66857354_img04.png,2023-10-06,4,PNG,1280,1120
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-10-30_science-environment-67242386_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-10-30_science-environment-67242386_img03.png,2023-10-30,3,PNG,2560,2363
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-12-06_science-environment-67544977_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-12-06_science-environment-67544977_img03.png,2023-12-06,3,PNG,1920,1772
