article_id,newspaper,search_term,title,article_url,section,published_date,image_count
environment_climate-consensus-97-per-cent_2015_jul_16_no-the-sun-isnt-going-to-save-us-from-global-warming,The Guardian,"""global warming""","No, the sun isn't going to save us from global warming",https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/jul/16/no-the-sun-isnt-going-to-save-us-from-global-warming,Environment,2015-07-16,2
environment_2015_jul_20_sharks-dont-like-to-eat-people-attack-statistics-contradict-untested-theories,The Guardian,temperature,'Sharks don't like to eat people': attack statistics contradict untested theories,https://www.theguardian.com/environment/2015/jul/20/sharks-dont-like-to-eat-people-attack-statistics-contradict-untested-theories,Environment,2015-07-20,1
environment_climate-consensus-97-per-cent_2015_jul_20_oceans-warming-faster-than-climate-models-predicted,The Guardian,"""global warming""",The oceans are warming faster than climate models predicted,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/jul/20/oceans-warming-faster-than-climate-models-predicted,Environment,2015-07-20,1
environment_climate-consensus-97-per-cent_2015_jul_27_daily-mail-telegraph-wrong-arctic-sea-ice,The Guardian,"""global warming""","The Daily Mail and Telegraph get it wrong on Arctic sea ice, again",https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/jul/27/daily-mail-telegraph-wrong-arctic-sea-ice,Environment,2015-07-27,2
global_2015_aug_04_islamic-state-climate-socialism-corbyn,The Guardian,"""global warming""","Guardian Weekly Letters, 7 August 2015",https://www.theguardian.com/global/2015/aug/04/islamic-state-climate-socialism-corbyn,Global,2015-08-04,1
environment_2015_aug_12_satellite-eye-on-earth-july-2015,The Guardian,temperature,Satellite Eye on Earth: July 2015 – in pictures,https://www.theguardian.com/environment/2015/aug/12/satellite-eye-on-earth-july-2015,Environment,2015-08-12,1
cities_2015_aug_15_treeconomics-street-trees-cities-sheffield-itree,The Guardian,temperature,Introducing 'treeconomics': how street trees can save our cities,https://www.theguardian.com/cities/2015/aug/15/treeconomics-street-trees-cities-sheffield-itree,Cities,2015-08-15,1
environment_climate-consensus-97-per-cent_2015_aug_31_citi-report-slowing-global-warming-would-save-tens-of-trillions-of-dollars,The Guardian,"""global warming""",Citi report: slowing global warming would save tens of trillions of dollars,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/aug/31/citi-report-slowing-global-warming-would-save-tens-of-trillions-of-dollars,Environment,2015-08-31,2
commentisfree_2015_oct_01_the-guardian-view-on-diesel-pollution-tougher-regulation-to-clean-up-the-car-industry,The Guardian,emissions,The Guardian view on diesel pollution: tougher regulation to clean up the car industry,https://www.theguardian.com/commentisfree/2015/oct/01/the-guardian-view-on-diesel-pollution-tougher-regulation-to-clean-up-the-car-industry,Opinion,2015-10-01,1
cities_2015_oct_07_smell-amsterdam-cannabis-odour-mappers-kate-mclean,The Guardian,temperature,"The sweet smell of Amsterdam … and it's not just cannabis, say odour mappers",https://www.theguardian.com/cities/2015/oct/07/smell-amsterdam-cannabis-odour-mappers-kate-mclean,Cities,2015-10-07,3
environment_climate-consensus-97-per-cent_2015_oct_21_carbon-pollution-the-good-the-bad-the-ugly-and-the-denial,The Guardian,"""global warming""","Carbon pollution: the good, the bad, the ugly, and the denial",https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/oct/21/carbon-pollution-the-good-the-bad-the-ugly-and-the-denial,Environment,2015-10-21,1
environment_climate-consensus-97-per-cent_2015_oct_27_global-warming-could-be-more-devastating-for-the-economy-than-we-thought,The Guardian,"""climate change""",Global warming could be more devastating for the economy than we thought,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/oct/27/global-warming-could-be-more-devastating-for-the-economy-than-we-thought,Environment,2015-10-27,2
global_blog_2015_nov_13_digital-revolution-environmental-sustainable,The Guardian,emissions,Can the digital revolution be environmentally sustainable?,https://www.theguardian.com/global/blog/2015/nov/13/digital-revolution-environmental-sustainable,Global,2015-11-13,1
cities_2015_nov_23_cities-in-numbers-how-patterns-of-urban-growth-change-the-world,The Guardian,"""climate change""",Cities in numbers: how patterns of urban growth change the world,https://www.theguardian.com/cities/2015/nov/23/cities-in-numbers-how-patterns-of-urban-growth-change-the-world,Cities,2015-11-23,3
books_2015_dec_02_best-drink-books-2015-review-henry-jeffries,The Guardian,"""global warming""",The best drink books of 2015,https://www.theguardian.com/books/2015/dec/02/best-drink-books-2015-review-henry-jeffries,Books,2015-12-02,1
environment_climate-consensus-97-per-cent_2015_dec_08_betting-against-global-warming-is-a-sure-way-to-lose-money,The Guardian,"""climate change""",Betting against global warming is a sure way to lose money,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/dec/08/betting-against-global-warming-is-a-sure-way-to-lose-money,Environment,2015-12-08,1
