article_id,newspaper,search_term,article_url,published_date,image_index,image_url,local_image_path,caption,credit
science-environment-51283716,BBC News,"""sea level""",https://www.bbc.co.uk/news/science-environment-51283716,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/3139/production/_110710621_uk_flood_976-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-51283716_img01.png,,
science-environment-56935097,BBC News,"""sea level""",https://www.bbc.co.uk/news/science-environment-56935097,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/13B42/production/_118260708_os-maps-3d.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-56935097_img01.jpg,"Image caption, OS map applications allow you to fly around 3D mountains",
science-environment-58130705,BBC News,IPCC,https://www.bbc.co.uk/news/science-environment-58130705,,2,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/FF74/production/_119869356_ipcc_climat_maps_2x640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-58130705_img02.png,,
science-environment-58138714,BBC News,IPCC,https://www.bbc.co.uk/news/science-environment-58138714,,1,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/15076/production/_119843168_ipcc_heat_chart_640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-58138714_img01.png,,
science-environment-58138714,BBC News,IPCC,https://www.bbc.co.uk/news/science-environment-58138714,,2,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/DC4C/production/_119869365_spm8_a-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-58138714_img02.png,,
science-environment-58138714,BBC News,IPCC,https://www.bbc.co.uk/news/science-environment-58138714,,3,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/120C4/production/_119842937_spm8_d-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-58138714_img03.png,,
science-environment-58138714,BBC News,IPCC,https://www.bbc.co.uk/news/science-environment-58138714,,4,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/17786/production/_119843169_ipcc_rain_chart_640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-58138714_img04.png,,
science-environment-58138714,BBC News,IPCC,https://www.bbc.co.uk/news/science-environment-58138714,,5,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/B2EF/production/_119870854_ipcc_climat_maps_2x640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-58138714_img05.png,,
science-environment-58494641,BBC News,ERA5,https://www.bbc.co.uk/news/science-environment-58494641,,1,https://news.files.bbci.co.uk/include/newsspec/31126-life-above-50c-gallery/assets/app-project-assets/img/map_v6.6.svg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-58494641_img01.svg,1980-2020,
science-environment-58494641,BBC News,ERA5,https://www.bbc.co.uk/news/science-environment-58494641,,2,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/6EBD/production/_120494382_maximum_temp_rising_640x2_v3-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-58494641_img02.png,,
