article_id,newspaper,search_term,title,article_url,section,published_date,image_count
science-environment-67171231,BBC News,"""sea level""",Sea-level rise: West Antarctic ice shelf melt 'unavoidable',https://www.bbc.co.uk/news/science-environment-67171231,BBC search,,2
uk-england-essex-64255567,BBC News,"""sea level""",Flood of 1953: Canvey Island defiant in face of rising sea levels,https://www.bbc.co.uk/news/uk-england-essex-64255567,BBC search,,2
uk-england-merseyside-39419843,BBC News,"""sea level""","Everton's new stadium plans could be sunk by rising sea levels, warns academic",https://www.bbc.co.uk/news/uk-england-merseyside-39419843,BBC search,,1
uk-northern-ireland-48338943,BBC News,"""carbon dioxide""",Warrenpoint Port set for Â£9.5m carbon dioxide terminal,https://www.bbc.co.uk/news/uk-northern-ireland-48338943,BBC search,,1
uk-politics-18692139,BBC News,"""global warming""",Global warming: Andrew Pendleton and James Delingpole,https://www.bbc.co.uk/news/uk-politics-18692139,BBC search,,1
uk-scotland-53063990,BBC News,"""greenhouse gas""",Power sector problems see greenhouse gas target missed,https://www.bbc.co.uk/news/uk-scotland-53063990,BBC search,,2
uk-scotland-highlands-islands-49884457,BBC News,"""sea level""",'Shocking level' of litter on sea corals off Scotland,https://www.bbc.co.uk/news/uk-scotland-highlands-islands-49884457,BBC search,,2
uk-wales-58146128,BBC News,IPCC,Climate change: IPCC report heralds Wales' 'last-chance saloon',https://www.bbc.co.uk/news/uk-wales-58146128,BBC search,,2
world-43789527,BBC News,"""carbon dioxide""",Turning carbon dioxide into rock - forever,https://www.bbc.co.uk/news/world-43789527,BBC search,,1
world-58064485,BBC News,IPCC,Climate change: At-risk nations fear extinction after IPCC report,https://www.bbc.co.uk/news/world-58064485,BBC search,,2
world-59156491,BBC News,"""global warming""",COP26 promises could limit global warming to 1.8C,https://www.bbc.co.uk/news/live/world-59156491,BBC search,,2
world-europe-36255749,BBC News,"""sea level""",Five Pacific islands disappear as sea levels rise,https://www.bbc.co.uk/news/world-europe-36255749,BBC search,,2
world-us-canada-44067797,BBC News,"""greenhouse gas""",Trump White House axes Nasa research into greenhouse gas cuts,https://www.bbc.co.uk/news/world-us-canada-44067797,BBC search,,1
